Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,098 School Reserve Special Revenue Fund,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
098 School Reserve Special Revenue Fund,,,,,,,,0,"13,300,000",,,"13,300,000",,"11,000,000",,"11,000,000",,"11,000,000","11,000,000",,"11,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,107 School Equipment Replacement Special Revenue Fund,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0500 Public Education,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
80107 Reserve for Contingencies,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414001 Interest on Bank Deposits,,,,,,,,"6,928",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
491001 Specific Fund Reserves,,,,,,,,0,0,,,0,,"902,602",,"902,602",,"902,602","902,602",,"902,602"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 80107,,,,,,,"6,928",,0,,0,,"902,602","902,602",,"902,602","902,602",,"902,602"
,,,,,,,,,,,,,,,,,,,,,
,,,,,0500 Public Education,,,,"6,928",,0,,0,,"902,602","902,602",,"902,602","902,602",,"902,602"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
107 School Equipment Replacement Special Revenue Fund,,,,,,,,"6,928",0,,,0,,"902,602",,"902,602",,"902,602","902,602",,"902,602"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,108 School Instructional Technology Fund,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0500 Public Education,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
50030 Instructional Technology,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414001 Interest on Bank Deposits,,,,,,,,"232,448",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
491001 Specific Fund Reserves,,,,,,,,0,"11,919,230",,,"11,919,230",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 50030,,,,,,,"232,448",,"11,919,230",,"11,919,230",,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,0500 Public Education,,,,"232,448",,"11,919,230",,"11,919,230",,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
108 School Instructional Technology Fund,,,,,,,,"232,448","11,919,230",,,"11,919,230",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,109 School Vending Operations Fund,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0500 Public Education,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
50901 School Vending Operations,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414001 Interest on Bank Deposits,,,,,,,,"1,621","10,000",,,"10,000",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416055 Miscellaneous Revenue,,,,,,,,"231,643","180,000",,,"180,000",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
418044 Vending Operating Receipts,,,,,,,,0,0,,,0,,"192,550",,"192,550",,"192,550","192,550",,"192,550"
,,,,,,,,,,,,,,,,,,,,,
491001 Specific Fund Reserves,,,,,,,,0,"137,011",,,"137,011",,"137,011",,"137,011",,"137,011","137,011",,"137,011"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 50901,,,,,,,"233,264",,"327,011",,"327,011",,"329,561","329,561",,"329,561","329,561",,"329,561"
,,,,,,,,,,,,,,,,,,,,,
,,,,,0500 Public Education,,,,"233,264",,"327,011",,"327,011",,"329,561","329,561",,"329,561","329,561",,"329,561"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
109 School Vending Operations Fund,,,,,,,,"233,264","327,011",,,"327,011",,"329,561",,"329,561",,"329,561","329,561",,"329,561"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,112 School Communication Tower Technology Fund,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0500 Public Education,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
51600 Communication Tower Technology,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414001 Interest on Bank Deposits,,,,,,,,"9,076","10,000",,,"10,000",,"10,000",,"10,100",,"10,201","10,303",,"10,406"
,,,,,,,,,,,,,,,,,,,,,
414168 Rent - Wireless Communication Tower - Use 414256,,,,,,,,"433,113","250,000",,,"250,000",,"250,000",,"252,500",,"255,025","257,575",,"260,151"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
491001 Specific Fund Reserves,,,,,,,,0,"325,000",,,"325,000",,"340,000",,"340,000",,"340,000","340,000",,"340,000"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 51600,,,,,,,"442,189",,"585,000",,"585,000",,"600,000","602,600",,"605,226","607,878",,"610,557"
,,,,,,,,,,,,,,,,,,,,,
,,,,,0500 Public Education,,,,"442,189",,"585,000",,"585,000",,"600,000","602,600",,"605,226","607,878",,"610,557"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,28,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
112 School Communication Tower Technology Fund,,,,,,,,"442,189","585,000",,,"585,000",,"600,000",,"602,600",,"605,226","607,878",,"610,557"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,114 School Cafeteria Fund,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0500 Public Education,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
50050 Food Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414001 Interest on Bank Deposits,,,,,,,,"8,386","36,000",,,"36,000",,"8,091",,"8,172",,"8,254","8,337",,"8,420"
,,,,,,,,,,,,,,,,,,,,,
415133 Charges For Services,,,,,,,,"13,145,182","14,240,472",,,"14,240,472",,"14,030,889",,"14,030,889",,"14,030,889","14,030,889",,"14,030,889"
,,,,,,,,,,,,,,,,,,,,,
416096 USDA Rebates from Vendors,,,,,,,,"131,232","140,000",,,"140,000",,"130,000",,"130,000",,"130,000","130,000",,"130,000"
,,,,,,,,,,,,,,,,,,,,,
422187 School Meal Payments,,,,,,,,"486,856","330,000",,,"330,000",,"485,000",,"485,000",,"485,000","485,000",,"485,000"
,,,,,,,,,,,,,,,,,,,,,
433152 National School Meal Program,,,,,,,,"11,669,130","11,384,707",,,"11,384,707",,"12,149,920",,"12,149,920",,"12,149,920","12,149,920",,"12,149,920"
,,,,,,,,,,,,,,,,,,,,,
433178 USDA Commodities,,,,,,,,"1,525,498","1,211,921",,,"1,211,921",,"1,211,921",,"1,211,921",,"1,211,921","1,211,921",,"1,211,921"
,,,,,,,,,,,,,,,,,,,,,
491001 Specific Fund Reserves,,,,,,,,0,"353,432",,,"353,432",,"327,306",,"327,306",,"327,306","327,306",,"327,306"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 50050,,,,,,,"26,966,284",,"27,696,532",,"27,696,532",,"28,343,127","28,343,208",,"28,343,290","28,343,373",,"28,343,456"
,,,,,,,,,,,,,,,,,,,,,
,,,,,0500 Public Education,,,,"26,966,284",,"27,696,532",,"27,696,532",,"28,343,127","28,343,208",,"28,343,290","28,343,373",,"28,343,456"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,114 School Cafeteria Fund,,,,"26,966,284","27,696,532",,,"27,696,532",,"28,343,127",,"28,343,208",,"28,343,290","28,343,373",,"28,343,456"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,115 School Operating Fund,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0500 Public Education,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,29,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,115 School Operating Fund,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0500 Public Education,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
50010 Instruction,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414058 Sale of School Vehicles,,,,,,,,"334,442","15,000",,,"15,000",,"15,000",,"15,000",,"15,000","15,000",,"15,000"
,,,,,,,,,,,,,,,,,,,,,
414081 Rent of Facilities,,,,,,,,"367,908","450,000",,,"450,000",,"450,000",,"450,000",,"450,000","450,000",,"450,000"
,,,,,,,,,,,,,,,,,,,,,
415131 Tuition - Regular Day,,,,,,,,"384,094","100,000",,,"100,000",,"100,000",,"100,000",,"100,000","100,000",,"100,000"
,,,,,,,,,,,,,,,,,,,,,
415134 Tuition - General Adult Education,,,,,,,,"277,221","142,839",,,"142,839",,"142,839",,"142,839",,"142,839","142,839",,"142,839"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415135 Tuition - Summer School,,,,,,,,"665,060","700,000",,,"700,000",,"700,000",,"700,000",,"700,000","700,000",,"700,000"
,,,,,,,,,,,,,,,,,,,,,
415138 Tuition - Vocational Adult Education,,,,,,,,"78,703","169,750",,,"169,750",,"169,750",,"169,750",,"169,750","169,750",,"169,750"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415139 Tuition - Drivers Education,,,,,,,,"314,517","322,125",,,"322,125",,"322,125",,"322,125",,"322,125","322,125",,"322,125"
,,,,,,,,,,,,,,,,,,,,,
415141 Tuition - LPN Program,,,,,,,,"28,582","25,575",,,"25,575",,"25,575",,"25,575",,"25,575","25,575",,"25,575"
,,,,,,,,,,,,,,,,,,,,,
415142 Open Campus Tuition,,,,,,,,"20,896","20,811",,,"20,811",,"20,811",,"20,811",,"20,811","20,811",,"20,811"
,,,,,,,,,,,,,,,,,,,,,
415990 Consolidated Benefits Office,,,,,,,,"662,283","678,838",,,"678,838",,"702,737",,"702,737",,"702,737","702,737",,"702,737"
,,,,,,,,,,,,,,,,,,,,,
416055 Miscellaneous Revenue,,,,,,,,"70,477","95,000",,,"95,000",,"95,000",,"97,850",,"100,786","103,809",,"106,923"
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"346,446","12,000",,,"12,000",,"12,000",,"12,360",,"12,731","13,113",,"13,506"
,,,,,,,,,,,,,,,,,,,,,
416088 Insurance Proceeds,,,,,,,,"26,951",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416119 National Institute of Aerospace,,,,,,,,"49,156",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416127 Indirect Cost - Grants,,,,,,,,"563,562","550,000",,,"550,000",,"550,000",,"550,000",,"550,000","550,000",,"550,000"
,,,,,,,,,,,,,,,,,,,,,
416151 Donation - Arts and Academics,,,,,,,,"1,860",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416204 Flexible Benefits Forfeitures,,,,,,,,0,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416252 School Risk Management Fund Balance,,,,,,,,0,"5,500,000",,,"5,500,000",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
420000 Commonwealth Target Adjustment,,,,,,,,"13,776,652",0,,,0,,"3,479,228",,"3,496,624",,"3,514,107","3,531,678",,"3,549,336"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422169 State Share Sales Tax,,,,,,,,"70,058,126","72,311,348",,,"72,311,348",,"69,064,589",,"69,064,589",,"69,064,589","69,064,589",,"69,064,589"
,,,,,,,,,,,,,,,,,,,,,
422170 Social Security Reimbursement,,,,,,,,"10,073,393","10,098,225",,,"10,098,225",,"10,073,286",,"10,073,286",,"10,073,286","10,073,286",,"10,073,286"
,,,,,,,,,,,,,,,,,,,,,
422171 Retirement Reimbursement,,,,,,,,"5,961,804","9,150,228",,,"9,150,228",,"16,815,888",,"14,947,456",,"14,947,456","14,947,456",,"14,947,456"
,,,,,,,,,,,,,,,,,,,,,
422172 Life Insurance Reimbursement,,,,,,,,"370,043","370,955",,,"370,955",,"649,889",,"649,889",,"649,889","649,889",,"649,889"
,,,,,,,,,,,,,,,,,,,,,
422173 Basic School Aid,,,,,,,,"166,871,031","166,430,660",,,"166,430,660",,"168,036,256",,"170,697,486",,"170,697,486","170,697,486",,"170,697,486"
,,,,,,,,,,,,,,,,,,,,,
422174 Special Education - Foster Children,,,,,,,,"318,481",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422175 Special Education - SOQ,,,,,,,,"19,447,816","19,495,757",,,"19,495,757",,"18,481,230",,"18,481,230",,"18,481,230","18,481,230",,"18,481,230"
,,,,,,,,,,,,,,,,,,,,,
422176 Vocational Funds - SOQ,,,,,,,,"3,042,576","3,050,076",,,"3,050,076",,"2,518,321",,"2,518,321",,"2,518,321","2,518,321",,"2,518,321"
,,,,,,,,,,,,,,,,,,,,,
422177 Foster Home Children - Regular,,,,,,,,"199,291","564,832",,,"564,832",,"548,362",,"548,362",,"548,362","548,362",,"548,362"
,,,,,,,,,,,,,,,,,,,,,
422180 Summer Schools - Remedial,,,,,,,,"1,160,030","1,160,030",,,"1,160,030",,"1,173,172",,"1,173,172",,"1,173,172","1,173,172",,"1,173,172"
,,,,,,,,,,,,,,,,,,,,,
422182 Gifted and Talented Aid - SOQ,,,,,,,,"1,850,215","1,854,776",,,"1,854,776",,"1,868,432",,"1,868,432",,"1,868,432","1,868,432",,"1,868,432"
,,,,,,,,,,,,,,,,,,,,,
"422185 Prevention, Intervention, and Remediation",,,,,,,,"2,795,881","2,802,773",,,"2,802,773",,"3,330,683",,"3,330,683",,"3,330,683","3,330,683",,"3,330,683"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422189 Visually Impaired,,,,,,,,"28,665",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422197 Special Education - Home Bound,,,,,,,,"84,546","89,620",,,"89,620",,"55,766",,"55,766",,"55,766","55,766",,"55,766"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422198 Special Education - Regional Program Payment,,,,,,,,"7,871,956","8,490,677",,,"8,490,677",,"8,104,869",,"8,104,869",,"8,104,869","8,104,869",,"8,104,869"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422200 Vocational - Adult Education,,,,,,,,"32,684",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422201 Vocational Education - Occupational/Technical Ed,,,,,,,,"207,694","299,093",,,"299,093",,"328,986",,"328,986",,"328,986","328,986",,"328,986"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422202 Vocational - Equipment - State,,,,,,,,"88,608",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422204 English as a Second Language Payments,,,,,,,,"547,324","571,684",,,"571,684",,"599,483",,"594,054",,"594,054","594,054",,"594,054"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422209 At-Risk Initiative,,,,,,,,"1,607,755","1,615,494",,,"1,615,494",,"1,954,938",,"1,979,665",,"1,979,665","1,979,665",,"1,979,665"
,,,,,,,,,,,,,,,,,,,,,
422223 Class Size Initiative,,,,,,,,"2,218,993","2,261,346",,,"2,261,346",,"3,036,295",,"3,003,427",,"3,003,427","3,003,427",,"3,003,427"
,,,,,,,,,,,,,,,,,,,,,
422241 Other State Funds,,,,,,,,0,"7,047,141",,,"7,047,141",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422810 Dual Enrollment,,,,,,,,"52,208",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
433141 Public Law 874,,,,,,,,"11,467,512","14,461,723",,,"14,461,723",,"14,461,723",,"14,461,723",,"14,461,723","14,461,723",,"14,461,723"
,,,,,,,,,,,,,,,,,,,,,
433144 Department of the Navy - NJROTC,,,,,,,,"310,175","100,000",,,"100,000",,"100,000",,"100,000",,"100,000","100,000",,"100,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433187 Department of Defense,,,,,,,,"2,520,238","1,500,000",,,"1,500,000",,"1,500,000",,"1,500,000",,"1,500,000","1,500,000",,"1,500,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,30,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,115 School Operating Fund,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0500 Public Education,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
50010 Instruction,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433289 Medicare Reimbursements/Medicare Services IEP's V,,,,,,,,"1,196,051","575,000",,,"575,000",,"575,000",,"575,000",,"575,000","575,000",,"575,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 50010,,,,,,,"328,351,906",,"333,083,376",,"333,083,376",,"330,062,233","330,862,067",,"330,882,856","330,903,833",,"330,924,998"
,,,,,,,,,,,,,,,,,,,,,
ZZ115 City Manager Adjustment,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
435103 Federal Reimbursement of Interest,,,,,,,,0,0,,,0,,"504,362",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code ZZ115,,,,,,,0,,0,,0,,"504,362",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,0500 Public Education,,,,"328,351,906",,"333,083,376",,"333,083,376",,"330,566,595","330,862,067",,"330,882,856","330,903,833",,"330,924,998"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,115 School Operating Fund,,,,"328,351,906","333,083,376",,,"333,083,376",,"330,566,595",,"330,862,067",,"330,882,856","330,903,833",,"330,924,998"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,116 School Grants Fund,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0500 Public Education,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,31,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,116 School Grants Fund,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0500 Public Education,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
50121 School Grants,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416117 Miscellaneous Transfers between School Funds,,,,,,,,"2,920,140","2,970,691",,,"2,970,691",,"3,202,852",,"3,202,852",,"3,202,852","3,202,852",,"3,202,852"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
420000 Commonwealth Target Adjustment,,,,,,,,0,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422166 Miscellaneous State Revenue,,,,,,,,0,"2,155,908",,,"2,155,908",,"2,155,908",,"2,188,247",,"2,221,070","2,254,386",,"2,288,202"
,,,,,,,,,,,,,,,,,,,,,
422181 Early Reading Initiative,,,,,,,,"646,555","651,325",,,"651,325",,"809,123",,"809,123",,"809,123","809,123",,"809,123"
,,,,,,,,,,,,,,,,,,,,,
422184 EPIPen Grant,,,,,,,,0,0,,,0,,"8,371",,"8,413",,"8,455","8,497",,"8,539"
,,,,,,,,,,,,,,,,,,,,,
422225 Technology Initiative,,,,,,,,"871,042","8,110,400",,,"8,110,400",,"7,432,400",,"7,432,400",,"7,432,400","7,432,400",,"7,432,400"
,,,,,,,,,,,,,,,,,,,,,
422232 Four-Year Old Initiative,,,,,,,,"2,503,366","2,509,056",,,"2,509,056",,"2,487,936",,"2,487,936",,"2,487,936","2,487,936",,"2,487,936"
,,,,,,,,,,,,,,,,,,,,,
422363 New Teacher Mentor Program Grant,,,,,,,,"51,246","29,662",,,"29,662",,"29,662",,"29,662",,"29,662","29,662",,"29,662"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422377 Individual Student Alternative,,,,,,,,"62,869","62,869",,,"62,869",,"62,869",,"62,869",,"62,869","62,869",,"62,869"
,,,,,,,,,,,,,,,,,,,,,
422401 Algebra Readiness Initiative,,,,,,,,"396,703","397,823",,,"397,823",,"466,897",,"466,897",,"466,897","466,897",,"466,897"
,,,,,,,,,,,,,,,,,,,,,
422420 Special Education - Jail Program,,,,,,,,"191,042","203,710",,,"203,710",,"202,490",,"202,490",,"202,490","202,490",,"202,490"
,,,,,,,,,,,,,,,,,,,,,
422461 Race to GED,,,,,,,,"47,396","58,581",,,"58,581",,"59,549",,"59,549",,"59,549","59,549",,"59,549"
,,,,,,,,,,,,,,,,,,,,,
422691 Juvenile Detention Home Grant,,,,,,,,"824,705","858,224",,,"858,224",,"934,303",,"934,303",,"934,303","934,303",,"934,303"
,,,,,,,,,,,,,,,,,,,,,
422813 Advanced Placement Fee Program,,,,,,,,"28,449",0,,,0,,"26,050",,"26,050",,"26,050","26,050",,"26,050"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422814 Career Switcher,,,,,,,,0,0,,,0,,"5,500",,"5,500",,"5,500","5,500",,"5,500"
,,,,,,,,,,,,,,,,,,,,,
422815 National Board Certification,,,,,,,,0,0,,,0,,"265,000",,"265,000",,"265,000","265,000",,"265,000"
,,,,,,,,,,,,,,,,,,,,,
422816 Opportunity Inc. - STEM,,,,,,,,0,0,,,0,,"243,839",,"243,839",,"243,839","243,839",,"243,839"
,,,,,,,,,,,,,,,,,,,,,
422817 VA Initiative for Speech & Pathology,,,,,,,,0,0,,,0,,"22,607",,"22,607",,"22,607","22,607",,"22,607"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422978 GED Expansion,,,,,,,,"10,000","10,000",,,"10,000",,"10,000",,"10,000",,"10,000","10,000",,"10,000"
,,,,,,,,,,,,,,,,,,,,,
422979 General Adult Education,,,,,,,,"36,712","45,861",,,"45,861",,"43,792",,"43,792",,"43,792","43,792",,"43,792"
,,,,,,,,,,,,,,,,,,,,,
422980 Industry Certification Examinations,,,,,,,,"67,737",0,,,0,,"61,910",,"61,910",,"61,910","61,910",,"61,910"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422981 Virginia Middle School Teacher Corps,,,,,,,,"71,875","65,000",,,"65,000",,"45,000",,"45,000",,"45,000","45,000",,"45,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433142 Adult Basic Education,,,,,,,,"304,860","302,469",,,"302,469",,"309,075",,"309,075",,"309,075","309,075",,"309,075"
,,,,,,,,,,,,,,,,,,,,,
433149 Preschool Incentive Grant,,,,,,,,"651,178","613,161",,,"613,161",,"536,252",,"536,252",,"536,252","536,252",,"536,252"
,,,,,,,,,,,,,,,,,,,,,
433153 Title I,,,,,,,,"13,523,026","21,773,461",,,"21,773,461",,"13,789,171",,"13,789,171",,"13,789,171","13,789,171",,"13,789,171"
,,,,,,,,,,,,,,,,,,,,,
